,regresion,escalamiento,learning_rate,iteraciones,eta0,mse,r2
0,lineal,sin,invscaling,100000,0.0001,4796866686.65775,0.6400915025112712
1,2,sin,invscaling,100000,0.0001,4851735096.970394,0.6359747303753798
2,3,sin,invscaling,100000,0.0001,9.666292740644776e+22,-7252611181060.759
3,lineal,simple,invscaling,100000,0.0001,4796237340.22836,0.6401387223200752
4,lineal,robusto,invscaling,100000,0.0001,4796892431.599498,0.6400895708704926
5,2,simple,invscaling,100000,0.0001,4339784732.243026,0.6743863224820212
6,2,robusto,invscaling,100000,0.0001,4758661092.687039,0.6429580649612783
7,3,simple,invscaling,100000,0.0001,4116638342.751908,0.6911289770121476
8,3,robusto,invscaling,100000,0.0001,7.12046613765056e+24,-534247965687528.8
9,lineal,sin,invscaling,100000,0.0001,4867181365.501201,0.6361759187776053
10,2,sin,invscaling,100000,0.0001,4742634200.591978,0.6454858775482264
11,3,sin,invscaling,100000,0.0001,4.908244042714383e+25,-3668935355302843.5
12,lineal,simple,invscaling,100000,0.0001,4867140702.928084,0.636178958323945
13,lineal,robusto,invscaling,100000,0.0001,4867760112.579013,0.6361326571631238
14,2,simple,invscaling,100000,0.0001,4377418662.243112,0.6727859096838146
15,2,robusto,invscaling,100000,0.0001,4792080094.229974,0.6417897738955918
16,3,simple,invscaling,100000,0.0001,4129303286.804397,0.6913326499277636
17,3,robusto,invscaling,100000,0.0001,2.2103397823104665e+24,-165223931491116.4
18,lineal,sin,invscaling,100000,0.0001,4810147948.662773,0.6403065449629981
19,2,sin,invscaling,100000,0.0001,4564957966.199699,0.6586413722643336
20,3,sin,invscaling,100000,0.0001,2.128884207985973e+25,-1591937970134710.0
21,lineal,simple,invscaling,100000,0.0001,4809303727.200608,0.6403696741926567
22,lineal,robusto,invscaling,100000,0.0001,4812475246.841584,0.6401325141573406
23,2,simple,invscaling,100000,0.0001,4329262551.610553,0.676266214351263
24,2,robusto,invscaling,100000,0.0001,4585999496.070469,0.6570679278174563
25,3,simple,invscaling,100000,0.0001,4067285866.094015,0.6958563184724433
26,3,robusto,invscaling,100000,0.0001,2.3380991634710183e+23,-17483848216389.375
27,lineal,sin,invscaling,100000,0.0001,4854837273.267767,0.6368271792319529
28,2,sin,invscaling,100000,0.0001,4661010280.997061,0.6513266756232208
29,3,sin,invscaling,100000,0.0001,7.309582583350464e+24,-546803440776408.56
30,lineal,simple,invscaling,100000,0.0001,4855073116.9381485,0.6368095366198092
31,lineal,robusto,invscaling,100000,0.0001,4855003538.254218,0.6368147415495495
32,2,simple,invscaling,100000,0.0001,4371878305.484012,0.6729555931771625
33,2,robusto,invscaling,100000,0.0001,4559466562.973125,0.6589227939749293
34,3,simple,invscaling,100000,0.0001,4105019468.1579576,0.6929183378055424
35,3,robusto,invscaling,100000,0.0001,2.1565846975337386e+25,-1613263027663451.0
36,lineal,sin,invscaling,100000,0.0001,4761176225.133542,0.6434008120000174
37,2,sin,invscaling,100000,0.0001,4911749147.22902,0.6321233084557065
38,3,sin,invscaling,100000,0.0001,5.6937715648455095e+22,-4264480499509.0776
39,lineal,simple,invscaling,100000,0.0001,4761515542.634973,0.6433753980393146
40,lineal,robusto,invscaling,100000,0.0001,4762858459.298939,0.6432748172228782
41,2,simple,invscaling,100000,0.0001,4294863333.967912,0.6783263830103455
42,2,robusto,invscaling,100000,0.0001,4719110715.960961,0.6465514045646367
43,3,simple,invscaling,100000,0.0001,4080873768.9408426,0.694353621138248
44,3,robusto,invscaling,100000,0.0001,9.90497743570582e+23,-74185594981452.9
45,lineal,sin,invscaling,100000,0.0001,4829238152.346804,0.6381635352000607
46,2,sin,invscaling,100000,0.0001,4616055722.491175,0.6541364846266564
47,3,sin,invscaling,100000,0.0001,4.808732829131491e+22,-3603000788466.629
48,lineal,simple,invscaling,100000,0.0001,4829693247.726013,0.6381294366325507
49,lineal,robusto,invscaling,100000,0.0001,4830265575.577542,0.6380865542813452
50,2,simple,invscaling,100000,0.0001,4363220929.388826,0.6730804349617874
51,2,robusto,invscaling,100000,0.0001,4854746787.663644,0.636252270082512
52,3,simple,invscaling,100000,0.0001,4133508641.106924,0.6902919038707366
53,3,robusto,invscaling,100000,0.0001,7.481861871044662e+23,-56058748070327.055
54,lineal,sin,invscaling,100000,0.0001,4855309728.387588,0.6391002123941567
55,2,sin,invscaling,100000,0.0001,4793449611.594046,0.6436983336801237
56,3,sin,invscaling,100000,0.0001,4.4747111880901826e+23,-33260953630562.574
57,lineal,simple,invscaling,100000,0.0001,4855584606.190273,0.6390797804657821
58,lineal,robusto,invscaling,100000,0.0001,4855401341.209854,0.6390934027259898
59,2,simple,invscaling,100000,0.0001,4374678020.489117,0.6748260241344504
60,2,robusto,invscaling,100000,0.0001,4767649603.471992,0.6456160728095224
61,3,simple,invscaling,100000,0.0001,4112811777.688091,0.6942907908939164
62,3,robusto,invscaling,100000,0.0001,9.57309701880023e+22,-7115774016670.211
63,lineal,sin,invscaling,100000,0.0001,4852942341.249548,0.6373227012164249
64,2,sin,invscaling,100000,0.0001,4691748428.836634,0.6493692842218226
65,3,sin,invscaling,100000,0.0001,4.444539620702874e+24,-332155939762936.56
66,lineal,simple,invscaling,100000,0.0001,4852435896.189955,0.6373605496212233
67,lineal,robusto,invscaling,100000,0.0001,4852520191.542408,0.6373542499356764
68,2,simple,invscaling,100000,0.0001,4360270052.882631,0.6741418188085841
69,2,robusto,invscaling,100000,0.0001,4686202631.913734,0.6497837409588219
70,3,simple,invscaling,100000,0.0001,4099658475.447662,0.6936182304964891
71,3,robusto,invscaling,100000,0.0001,3.4426951846981945e+25,-2572846125758981.5
72,lineal,sin,invscaling,100000,0.0001,4779738175.497371,0.6450006023525511
73,2,sin,invscaling,100000,0.0001,4642283056.43418,0.6552096311067073
74,3,sin,invscaling,100000,0.0001,6.370088442939873e+22,-4731174548005.107
75,lineal,simple,invscaling,100000,0.0001,4779828176.380643,0.6449939178317308
76,lineal,robusto,invscaling,100000,0.0001,4779650895.914667,0.6450070847576848
77,2,simple,invscaling,100000,0.0001,4340476695.2977,0.6776253100572536
78,2,robusto,invscaling,100000,0.0001,4672282324.82954,0.6529815337048849
79,3,simple,invscaling,100000,0.0001,4024421237.171158,0.7010992940158907
80,3,robusto,invscaling,100000,0.0001,1.9343376320470274e+22,-1436665919784.516
81,lineal,sin,invscaling,100000,0.0001,4877480411.389196,0.6358335861669415
82,2,sin,invscaling,100000,0.0001,4818705108.121358,0.6402219157157429
83,3,sin,invscaling,100000,0.0001,8.417084947331986e+24,-628443249723902.4
84,lineal,simple,invscaling,100000,0.0001,4877191721.382812,0.6358551405752563
85,lineal,robusto,invscaling,100000,0.0001,4877175024.547509,0.6358563872079686
86,2,simple,invscaling,100000,0.0001,4409352516.990778,0.6707853321791286
87,2,robusto,invscaling,100000,0.0001,4807675162.604723,0.641045442488744
88,3,simple,invscaling,100000,0.0001,4153045609.4120045,0.6899219272038164
89,3,robusto,invscaling,100000,0.0001,1.1651529981822485e+25,-869936018449357.2
